Row,Col,Length,Z_up,Z_down,Basin,Slope
87,103,54.59776811167288,2.4881913661956787,2.9243595600128174,2422,0.0001
87,110,116.23674679049068,6.789917945861816,5.407735824584961,2422,0.011891094334979544
87,114,128.96137416427615,7.622349262237549,5.977692127227783,2422,0.012753098713997385
87,119,137.6445915195229,5.20139741897583,6.503783226013184,2422,0.0001
87,129,128.96137416460542,7.145906925201416,7.544583797454834,2422,0.0001
88,103,123.68578565903726,3.1180410385131836,2.4881913661956787,2422,0.00509233675447397
88,104,5.27558850570698,3.1180410385131836,3.1180410385131836,2422,0.0001
88,109,106.84454536435176,5.407735824584961,5.466672420501709,2422,0.0001
88,110,34.57681087304007,5.407735824584961,5.407735824584961,2422,0.0001
88,114,51.166050759861726,8.60766887664795,7.622349262237549,2422,0.01925729267312057
88,115,90.25530547761241,7.257052898406982,8.60766887664795,2422,0.0001
88,119,120.2781568101819,6.503783226013184,6.919014930725098,2422,0.0001
88,129,45.43440535285989,7.400290012359619,7.145906925201416,2422,0.005598908694470035
88,130,95.98695088453194,5.1834588050842285,7.400290012359619,2422,0.0001
89,103,104.64180733533438,3.26313853263855,2.9743692874908447,2422,0.0027595972632842363
89,108,52.44392082815058,5.466672420501709,4.572317600250244,2422,0.017053546076047723
89,109,64.65786857980554,5.466672420501709,5.466672420501709,2422,0.0001
89,115,128.96137416468775,7.33588981628418,7.257052898406982,2422,0.0006113219433946169
89,116,80.98231024038012,6.912588596343994,6.912588596343994,2422,0.0001
89,119,104.7689404591345,6.919014930725098,7.165914535522461,2422,0.0001
89,120,66.73347348482406,7.165914535522461,6.973726272583008,2422,0.0028799379517261137
89,128,42.48096511583302,8.023503303527832,5.157651424407959,2422,0.0674620237865487
89,129,124.3371622910914,5.157651424407959,5.157651424407959,2422,0.0001
89,130,34.76534424340213,5.1834588050842285,5.1834588050842285,2422,0.0001
90,103,41.35273286938802,2.509765148162842,3.26313853263855,2422,0.0001
90,104,98.75659621997772,2.509765148162842,2.509765148162842,2422,0.0001
90,107,105.13777133621764,4.760918140411377,4.760918140411377,2422,0.0001
90,108,128.36097684852484,4.572317600250244,9.256574630737305,2422,0.0001
90,115,37.36781385997301,6.912588596343994,7.33588981628418,2422,0.0001
90,116,60.43904599627084,6.912588596343994,6.912588596343994,2422,0.0001
90,117,177.2835462525917,5.954484462738037,5.657717227935791,2422,0.0016739694183430611
90,118,100.04536414431041,5.973601818084717,5.155447483062744,2422,0.00817783354600845
90,120,83.53040912240978,6.973726272583008,6.048531532287598,2422,0.01107614280853793
90,121,118.05306252821195,6.83675479888916,6.83675479888916,2422,0.0001
90,128,60.31889667130271,7.628194332122803,6.8111891746521,2422,0.013544762960815249
90,129,81.10245956625376,6.8111891746521,6.8111891746521,2422,0.0001
91,101,37.85336086746005,3.763716220855713,2.0703749656677246,2422,0.0447342380275575
91,102,128.40295467731298,2.0703749656677246,3.951902151107788,2422,0.0001
91,103,107.99087444563688,3.3707869052886963,1.5208566188812256,2422,0.017130431584186628
91,104,117.92465175598046,2.398571014404297,1.5208566188812256,2422,0.007443010282017294
91,105,87.00824398028102,3.2314820289611816,2.398571014404297,2422,0.009572782720975845
91,106,106.84454536377552,4.760918140411377,5.599310874938965,2422,0.0001
91,107,66.36464260859819,9.256574630737305,4.760918140411377,2422,0.06774174189169026
91,108,20.778573974056854,9.256574630737305,9.256574630737305,2422,0.0001
91,117,128.96137416485237,7.5441179275512695,5.954484462738037,2422,0.012326430879847722
91,118,22.423247879375406,6.9464111328125,5.973601818084717,2422,0.04338396114429791
91,119,114.91133419459686,6.048531532287598,6.9464111328125,2422,0.0001
91,120,161.34411960153227,6.521171569824219,6.048531532287598,2422,0.002929391159119334
91,121,48.86059477992191,6.774970054626465,6.521171569824219,2422,0.00519433883163736
91,128,141.4213562371449,10.893546104431152,7.628194332122803,2422,0.02308952381161433
92,101,159.04243187113806,5.0326361656188965,3.763716220855713,2422,0.007978499384310903
92,102,0.5584194865998127,3.951902151107788,3.3707869052886963,2422,1.0406428496209408
92,103,33.430481791672634,3.3707869052886963,3.3707869052886963,2422,0.0001
92,105,34.64290219531385,5.599310874938965,3.2314820289611816,2422,0.06834960975925625
92,106,29.42705678977228,5.599310874938965,5.599310874938965,2422,0.0001
92,117,129.89752349491852,7.220252513885498,7.5441179275512695,2422,0.0001
92,121,141.42135623739182,6.533040523529053,6.774970054626465,2422,0.0001
92,128,18.984260636096266,8.18047046661377,10.893546104431152,2422,0.0001
92,129,128.96137416457134,7.442928314208984,8.18047046661377,2422,0.0001
92,130,108.6388587021477,7.872304439544678,7.442928314208984,2422,0.003952325442896106
93,100,166.81473503091303,5.698429107666016,5.0326361656188965,2422,0.00399121181905027
93,101,47.22871869172598,5.0326361656188965,5.0326361656188965,2422,0.0001
93,110,49.550865350266456,7.513474941253662,6.628715991973877,2422,0.01785557008995863
93,111,122.32265020344708,6.628715991973877,5.900921821594238,2422,0.0059497907310638795
93,112,123.14011605288923,5.900921821594238,5.822597026824951,2422,0.0006360623757707542
93,113,116.50139209179908,5.822597026824951,6.44721794128418,2422,0.0001
93,114,87.96264731512449,6.44721794128418,5.942921161651611,2422,0.005733078699029315
93,116,100.3334191271263,7.186225891113281,7.220252513885498,2422,0.0001
93,117,142.85494297291885,7.220252513885498,7.220252513885498,2422,0.0001
93,121,36.221484778934844,6.553940296173096,6.533040523529053,2422,0.0005769993353833344
93,122,92.73988938591755,5.983560085296631,6.553940296173096,2422,0.0001
93,130,91.95506512443852,7.796702861785889,7.796702861785889,2422,0.0001
93,131,49.466291113200256,7.810568809509277,7.796702861785889,2422,0.0002803110443768139
94,98,33.913038867895395,7.435277462005615,5.139462947845459,2422,0.06769710385150843
94,99,150.52277179779992,5.139462947845459,5.698429107666016,2422,0.0001
